event_id,video,frame_id,video_time_sec,type,type_cn,confidence,direction,message,bbox,source_frame_ids
1-road_obstacle-2,1,2,0.069,road_obstacle,路面障碍,0.7502,left_front,左前方有障碍，请注意避让。,"[42, 121, 107, 323]","[1, 2]"
1-road_obstacle-7,1,7,0.241,road_obstacle,路面障碍,0.7635,left_front,左前方有障碍，请注意避让。,"[21, 120, 86, 328]","[6, 7]"
1-road_obstacle-12,1,12,0.414,road_obstacle,路面障碍,0.7096,left_front,左前方有障碍，请注意避让。,"[4, 94, 63, 328]","[11, 12]"
1-road_obstacle-27,1,27,0.931,road_obstacle,路面障碍,0.6994,left_front,左前方有障碍，请注意避让。,"[3, 55, 80, 289]","[26, 27]"
1-road_obstacle-35,1,35,1.207,road_obstacle,路面障碍,0.6895,left_front,左前方有障碍，请注意避让。,"[51, 36, 143, 292]","[34, 35]"
1-road_obstacle-40,1,40,1.379,road_obstacle,路面障碍,0.6320,left_front,左前方有障碍，请注意避让。,"[77, 32, 171, 300]","[39, 40]"
1-road_obstacle-45,1,45,1.552,road_obstacle,路面障碍,0.7059,left_front,左前方有障碍，请注意避让。,"[74, 19, 185, 303]","[44, 45]"
1-road_obstacle-50,1,50,1.724,road_obstacle,路面障碍,0.7662,left_front,左前方有障碍，请注意避让。,"[87, 26, 208, 328]","[49, 50]"
1-road_obstacle-55,1,55,1.897,road_obstacle,路面障碍,0.7567,left_front,左前方有障碍，请注意避让。,"[88, 53, 219, 378]","[54, 55]"
1-road_obstacle-64,1,64,2.207,road_obstacle,路面障碍,0.7974,left_front,左前方有障碍，请注意避让。,"[40, 46, 192, 432]","[63, 64]"
1-road_obstacle-69,1,69,2.379,road_obstacle,路面障碍,0.8560,left_front,左前方有障碍，请注意避让。,"[7, 45, 187, 481]","[68, 69]"
1-road_obstacle-74,1,74,2.552,road_obstacle,路面障碍,0.8657,left_front,左前方有障碍，请注意避让。,"[1, 1, 183, 513]","[73, 74]"
1-road_obstacle-79,1,79,2.724,road_obstacle,路面障碍,0.8282,left_front,左前方有障碍，请注意避让。,"[0, 1, 163, 579]","[78, 79]"
1-road_obstacle-112,1,112,3.862,road_obstacle,路面障碍,0.5642,left_front,左前方有障碍，请注意避让。,"[2, 180, 90, 297]","[111, 112]"
1-road_obstacle-118,1,118,4.069,road_obstacle,路面障碍,0.5681,right_front,右前方有障碍，请注意避让。,"[338, 124, 454, 286]","[117, 118]"
1-road_obstacle-125,1,125,4.31,road_obstacle,路面障碍,0.6233,right_front,右前方有障碍，请注意避让。,"[437, 0, 511, 275]","[124, 125]"
1-road_obstacle-158,1,158,5.448,road_obstacle,路面障碍,0.5651,right_front,右前方有障碍，请注意避让。,"[308, 117, 474, 238]","[157, 158]"
1-road_obstacle-169,1,169,5.828,road_obstacle,路面障碍,0.8045,left_front,左前方有障碍，请注意避让。,"[1, 137, 259, 569]","[168, 169]"
1-road_obstacle-174,1,174,6.0,road_obstacle,路面障碍,0.7146,front,前方有障碍，请注意避让。,"[1, 128, 411, 620]","[173, 174]"
1-road_obstacle-179,1,179,6.172,road_obstacle,路面障碍,0.7442,front,前方有障碍，请注意避让。,"[1, 33, 513, 672]","[178, 179]"
1-road_obstacle-184,1,184,6.345,road_obstacle,路面障碍,0.6923,front,前方有障碍，请注意避让。,"[118, 0, 520, 714]","[183, 184]"
1-road_obstacle-191,1,191,6.586,road_obstacle,路面障碍,0.5721,front,前方有障碍，请注意避让。,"[21, 389, 537, 867]","[190, 191]"
1-road_obstacle-200,1,200,6.897,road_obstacle,路面障碍,0.7422,front,前方有障碍，请注意避让。,"[171, 440, 539, 938]","[199, 200]"
1-road_obstacle-206,1,206,7.103,road_obstacle,路面障碍,0.5837,front,前方有障碍，请注意避让。,"[99, 59, 327, 387]","[205, 206]"
1-road_obstacle-218,1,218,7.517,road_obstacle,路面障碍,0.6656,front,前方有障碍，请注意避让。,"[120, 31, 387, 386]","[217, 218]"
1-road_obstacle-224,1,224,7.724,road_obstacle,路面障碍,0.6072,front,前方有障碍，请注意避让。,"[149, 39, 429, 396]","[223, 224]"
1-road_obstacle-229,1,229,7.897,road_obstacle,路面障碍,0.6166,front,前方有障碍，请注意避让。,"[152, 49, 445, 416]","[228, 229]"
1-road_obstacle-234,1,234,8.069,road_obstacle,路面障碍,0.7961,front,前方有障碍，请注意避让。,"[141, 35, 453, 440]","[233, 234]"
1-road_obstacle-239,1,239,8.241,road_obstacle,路面障碍,0.7826,front,前方有障碍，请注意避让。,"[121, 28, 458, 461]","[238, 239]"
1-road_obstacle-244,1,244,8.414,road_obstacle,路面障碍,0.7975,front,前方有障碍，请注意避让。,"[121, 44, 473, 492]","[243, 244]"
